periodo,valor,serie
May.2023,59209.9,Creditos hipotecarios en MN (millones S/)
Jun.2023,59580.46,Creditos hipotecarios en MN (millones S/)
Jul.2023,59688.46,Creditos hipotecarios en MN (millones S/)
Ago.2023,60002.87,Creditos hipotecarios en MN (millones S/)
Sep.2023,60547.29,Creditos hipotecarios en MN (millones S/)
Oct.2023,60951.11,Creditos hipotecarios en MN (millones S/)
Nov.2023,61333.85,Creditos hipotecarios en MN (millones S/)
Dic.2023,61490.0,Creditos hipotecarios en MN (millones S/)
Ene.2024,61677.35,Creditos hipotecarios en MN (millones S/)
Feb.2024,61998.61,Creditos hipotecarios en MN (millones S/)
Mar.2024,62293.97,Creditos hipotecarios en MN (millones S/)
Abr.2024,62573.56,Creditos hipotecarios en MN (millones S/)
May.2024,62900.88,Creditos hipotecarios en MN (millones S/)
Jun.2024,63391.59,Creditos hipotecarios en MN (millones S/)
Jul.2024,63408.13,Creditos hipotecarios en MN (millones S/)
Ago.2024,63702.8,Creditos hipotecarios en MN (millones S/)
Sep.2024,64110.08,Creditos hipotecarios en MN (millones S/)
Oct.2024,64555.55,Creditos hipotecarios en MN (millones S/)
Nov.2024,64948.61,Creditos hipotecarios en MN (millones S/)
Dic.2024,65123.04,Creditos hipotecarios en MN (millones S/)
Ene.2025,65480.34,Creditos hipotecarios en MN (millones S/)
Feb.2025,65947.27,Creditos hipotecarios en MN (millones S/)
Mar.2025,66403.22,Creditos hipotecarios en MN (millones S/)
Abr.2025,66968.15,Creditos hipotecarios en MN (millones S/)
May.2025,67289.48,Creditos hipotecarios en MN (millones S/)
Jun.2025,67813.39,Creditos hipotecarios en MN (millones S/)
Jul.2025,68066.34,Creditos hipotecarios en MN (millones S/)
Ago.2025,68579.52,Creditos hipotecarios en MN (millones S/)
Sep.2025,69138.61,Creditos hipotecarios en MN (millones S/)
Oct.2025,69717.92,Creditos hipotecarios en MN (millones S/)
Nov.2025,70251.53,Creditos hipotecarios en MN (millones S/)
Dic.2025,70500.29,Creditos hipotecarios en MN (millones S/)
