periodo,valor,serie
Ago.2023,7.75,Tasa de referencia de la politica monetaria (%)
Sep.2023,7.5,Tasa de referencia de la politica monetaria (%)
Oct.2023,7.25,Tasa de referencia de la politica monetaria (%)
Nov.2023,7.0,Tasa de referencia de la politica monetaria (%)
Dic.2023,6.75,Tasa de referencia de la politica monetaria (%)
Ene.2024,6.5,Tasa de referencia de la politica monetaria (%)
Feb.2024,6.25,Tasa de referencia de la politica monetaria (%)
Mar.2024,6.25,Tasa de referencia de la politica monetaria (%)
Abr.2024,6.0,Tasa de referencia de la politica monetaria (%)
May.2024,5.75,Tasa de referencia de la politica monetaria (%)
Jun.2024,5.75,Tasa de referencia de la politica monetaria (%)
Jul.2024,5.75,Tasa de referencia de la politica monetaria (%)
Ago.2024,5.5,Tasa de referencia de la politica monetaria (%)
Sep.2024,5.25,Tasa de referencia de la politica monetaria (%)
Oct.2024,5.25,Tasa de referencia de la politica monetaria (%)
Nov.2024,5.0,Tasa de referencia de la politica monetaria (%)
Dic.2024,5.0,Tasa de referencia de la politica monetaria (%)
Ene.2025,4.75,Tasa de referencia de la politica monetaria (%)
Feb.2025,4.75,Tasa de referencia de la politica monetaria (%)
Mar.2025,4.75,Tasa de referencia de la politica monetaria (%)
Abr.2025,4.75,Tasa de referencia de la politica monetaria (%)
May.2025,4.5,Tasa de referencia de la politica monetaria (%)
Jun.2025,4.5,Tasa de referencia de la politica monetaria (%)
Jul.2025,4.5,Tasa de referencia de la politica monetaria (%)
Ago.2025,4.5,Tasa de referencia de la politica monetaria (%)
Sep.2025,4.25,Tasa de referencia de la politica monetaria (%)
Oct.2025,4.25,Tasa de referencia de la politica monetaria (%)
Nov.2025,4.25,Tasa de referencia de la politica monetaria (%)
Dic.2025,4.25,Tasa de referencia de la politica monetaria (%)
