periodo,valor,serie
Nov.2023,97703.67,Creditos de consumo en MN (millones S/)
Dic.2023,97298.82,Creditos de consumo en MN (millones S/)
Ene.2024,97121.14,Creditos de consumo en MN (millones S/)
Feb.2024,97048.6,Creditos de consumo en MN (millones S/)
Mar.2024,96822.07,Creditos de consumo en MN (millones S/)
Abr.2024,97594.95,Creditos de consumo en MN (millones S/)
May.2024,96899.82,Creditos de consumo en MN (millones S/)
Jun.2024,96216.25,Creditos de consumo en MN (millones S/)
Jul.2024,94645.19,Creditos de consumo en MN (millones S/)
Ago.2024,94090.76,Creditos de consumo en MN (millones S/)
Sep.2024,93661.31,Creditos de consumo en MN (millones S/)
Oct.2024,94372.21,Creditos de consumo en MN (millones S/)
Nov.2024,94646.65,Creditos de consumo en MN (millones S/)
Dic.2024,95034.48,Creditos de consumo en MN (millones S/)
Ene.2025,95282.74,Creditos de consumo en MN (millones S/)
Feb.2025,95666.18,Creditos de consumo en MN (millones S/)
Mar.2025,96051.35,Creditos de consumo en MN (millones S/)
Abr.2025,96402.15,Creditos de consumo en MN (millones S/)
May.2025,96929.09,Creditos de consumo en MN (millones S/)
Jun.2025,97836.54,Creditos de consumo en MN (millones S/)
Jul.2025,98250.6,Creditos de consumo en MN (millones S/)
Ago.2025,99116.99,Creditos de consumo en MN (millones S/)
Sep.2025,99858.79,Creditos de consumo en MN (millones S/)
Oct.2025,100814.88,Creditos de consumo en MN (millones S/)
Nov.2025,101521.03,Creditos de consumo en MN (millones S/)
Dic.2025,101919.27,Creditos de consumo en MN (millones S/)
