periodo,valor,serie
Nov.2022,7.7761,Tasa activa corporativos hasta 360 dias (%)
Dic.2022,8.1518,Tasa activa corporativos hasta 360 dias (%)
Ene.2023,8.4957,Tasa activa corporativos hasta 360 dias (%)
Feb.2023,8.7833,Tasa activa corporativos hasta 360 dias (%)
Mar.2023,8.9686,Tasa activa corporativos hasta 360 dias (%)
Abr.2023,8.999,Tasa activa corporativos hasta 360 dias (%)
May.2023,9.041,Tasa activa corporativos hasta 360 dias (%)
Jun.2023,9.0389,Tasa activa corporativos hasta 360 dias (%)
Jul.2023,9.0952,Tasa activa corporativos hasta 360 dias (%)
Ago.2023,9.0663,Tasa activa corporativos hasta 360 dias (%)
Sep.2023,8.9908,Tasa activa corporativos hasta 360 dias (%)
Oct.2023,8.8311,Tasa activa corporativos hasta 360 dias (%)
Nov.2023,8.6033,Tasa activa corporativos hasta 360 dias (%)
Dic.2023,8.3235,Tasa activa corporativos hasta 360 dias (%)
Ene.2024,8.1203,Tasa activa corporativos hasta 360 dias (%)
Feb.2024,7.8314,Tasa activa corporativos hasta 360 dias (%)
Mar.2024,7.6159,Tasa activa corporativos hasta 360 dias (%)
Abr.2024,7.4919,Tasa activa corporativos hasta 360 dias (%)
May.2024,7.4066,Tasa activa corporativos hasta 360 dias (%)
Jun.2024,7.1555,Tasa activa corporativos hasta 360 dias (%)
Jul.2024,6.8366,Tasa activa corporativos hasta 360 dias (%)
Ago.2024,6.7132,Tasa activa corporativos hasta 360 dias (%)
Sep.2024,6.5841,Tasa activa corporativos hasta 360 dias (%)
Oct.2024,6.4015,Tasa activa corporativos hasta 360 dias (%)
Nov.2024,6.2387,Tasa activa corporativos hasta 360 dias (%)
Dic.2024,5.8979,Tasa activa corporativos hasta 360 dias (%)
Ene.2025,5.8022,Tasa activa corporativos hasta 360 dias (%)
Feb.2025,5.7096,Tasa activa corporativos hasta 360 dias (%)
Mar.2025,5.5847,Tasa activa corporativos hasta 360 dias (%)
Abr.2025,5.639,Tasa activa corporativos hasta 360 dias (%)
May.2025,5.6816,Tasa activa corporativos hasta 360 dias (%)
Jun.2025,5.6219,Tasa activa corporativos hasta 360 dias (%)
Jul.2025,5.5862,Tasa activa corporativos hasta 360 dias (%)
Ago.2025,5.5407,Tasa activa corporativos hasta 360 dias (%)
Sep.2025,5.4266,Tasa activa corporativos hasta 360 dias (%)
Oct.2025,5.4667,Tasa activa corporativos hasta 360 dias (%)
Nov.2025,5.4191,Tasa activa corporativos hasta 360 dias (%)
Dic.2025,5.3805,Tasa activa corporativos hasta 360 dias (%)
