periodo,valor,serie
Jul.2022,344779.239342675,Creditos en moneda nacional al sector privado (millones S/)
Ago.2022,343879.505334958,Creditos en moneda nacional al sector privado (millones S/)
Sep.2022,343440.774826336,Creditos en moneda nacional al sector privado (millones S/)
Oct.2022,344216.040016732,Creditos en moneda nacional al sector privado (millones S/)
Nov.2022,345917.756761785,Creditos en moneda nacional al sector privado (millones S/)
Dic.2022,344449.264175668,Creditos en moneda nacional al sector privado (millones S/)
Ene.2023,341844.144695166,Creditos en moneda nacional al sector privado (millones S/)
Feb.2023,339196.394375122,Creditos en moneda nacional al sector privado (millones S/)
Mar.2023,341889.611536268,Creditos en moneda nacional al sector privado (millones S/)
Abr.2023,343826.57252783,Creditos en moneda nacional al sector privado (millones S/)
May.2023,343672.271458341,Creditos en moneda nacional al sector privado (millones S/)
Jun.2023,342944.611093514,Creditos en moneda nacional al sector privado (millones S/)
Jul.2023,344161.727889749,Creditos en moneda nacional al sector privado (millones S/)
Ago.2023,344365.018530237,Creditos en moneda nacional al sector privado (millones S/)
Sep.2023,344473.599671943,Creditos en moneda nacional al sector privado (millones S/)
Oct.2023,345880.87133494,Creditos en moneda nacional al sector privado (millones S/)
Nov.2023,346832.934376693,Creditos en moneda nacional al sector privado (millones S/)
Dic.2023,347242.945602362,Creditos en moneda nacional al sector privado (millones S/)
Ene.2024,344103.033774912,Creditos en moneda nacional al sector privado (millones S/)
Feb.2024,342706.456371828,Creditos en moneda nacional al sector privado (millones S/)
Mar.2024,344051.467583645,Creditos en moneda nacional al sector privado (millones S/)
Abr.2024,346164.419969228,Creditos en moneda nacional al sector privado (millones S/)
May.2024,347899.321786152,Creditos en moneda nacional al sector privado (millones S/)
Jun.2024,348729.864794889,Creditos en moneda nacional al sector privado (millones S/)
Jul.2024,347444.152353555,Creditos en moneda nacional al sector privado (millones S/)
Ago.2024,348788.158500193,Creditos en moneda nacional al sector privado (millones S/)
Sep.2024,347948.072158939,Creditos en moneda nacional al sector privado (millones S/)
Oct.2024,349782.157096029,Creditos en moneda nacional al sector privado (millones S/)
Nov.2024,352079.658232864,Creditos en moneda nacional al sector privado (millones S/)
Dic.2024,351673.271772271,Creditos en moneda nacional al sector privado (millones S/)
Ene.2025,347386.256949114,Creditos en moneda nacional al sector privado (millones S/)
Feb.2025,348186.470647392,Creditos en moneda nacional al sector privado (millones S/)
Mar.2025,349812.346060533,Creditos en moneda nacional al sector privado (millones S/)
Abr.2025,350811.103434084,Creditos en moneda nacional al sector privado (millones S/)
May.2025,352935.061921016,Creditos en moneda nacional al sector privado (millones S/)
Jun.2025,353830.228796205,Creditos en moneda nacional al sector privado (millones S/)
Jul.2025,356356.924985583,Creditos en moneda nacional al sector privado (millones S/)
Ago.2025,359021.514332591,Creditos en moneda nacional al sector privado (millones S/)
Sep.2025,359670.291355471,Creditos en moneda nacional al sector privado (millones S/)
Oct.2025,362510.101399643,Creditos en moneda nacional al sector privado (millones S/)
Nov.2025,366136.320017464,Creditos en moneda nacional al sector privado (millones S/)
Dic.2025,368883.108717464,Creditos en moneda nacional al sector privado (millones S/)
