periodo,valor,serie
Jun.2022,455781.836629894,Creditos del sistema financiero al sector privado (millones S/)
Jul.2022,462168.250620687,Creditos del sistema financiero al sector privado (millones S/)
Ago.2022,458197.586952529,Creditos del sistema financiero al sector privado (millones S/)
Sep.2022,460576.95365874,Creditos del sistema financiero al sector privado (millones S/)
Oct.2022,461897.091793731,Creditos del sistema financiero al sector privado (millones S/)
Nov.2022,459677.592695015,Creditos del sistema financiero al sector privado (millones S/)
Dic.2022,457212.014642692,Creditos del sistema financiero al sector privado (millones S/)
Ene.2023,455738.710139182,Creditos del sistema financiero al sector privado (millones S/)
Feb.2023,451691.083895427,Creditos del sistema financiero al sector privado (millones S/)
Mar.2023,454780.724556626,Creditos del sistema financiero al sector privado (millones S/)
Abr.2023,456034.756591094,Creditos del sistema financiero al sector privado (millones S/)
May.2023,454491.360627869,Creditos del sistema financiero al sector privado (millones S/)
Jun.2023,452593.949377221,Creditos del sistema financiero al sector privado (millones S/)
Jul.2023,452120.338226548,Creditos del sistema financiero al sector privado (millones S/)
Ago.2023,456043.704423708,Creditos del sistema financiero al sector privado (millones S/)
Sep.2023,459912.677228209,Creditos del sistema financiero al sector privado (millones S/)
Oct.2023,460884.442838562,Creditos del sistema financiero al sector privado (millones S/)
Nov.2023,458655.891907493,Creditos del sistema financiero al sector privado (millones S/)
Dic.2023,459271.350226052,Creditos del sistema financiero al sector privado (millones S/)
Ene.2024,457194.471245153,Creditos del sistema financiero al sector privado (millones S/)
Feb.2024,453038.543616331,Creditos del sistema financiero al sector privado (millones S/)
Mar.2024,454494.167632086,Creditos del sistema financiero al sector privado (millones S/)
Abr.2024,457488.519111144,Creditos del sistema financiero al sector privado (millones S/)
May.2024,458702.210048213,Creditos del sistema financiero al sector privado (millones S/)
Jun.2024,461674.34262391,Creditos del sistema financiero al sector privado (millones S/)
Jul.2024,457312.05504964,Creditos del sistema financiero al sector privado (millones S/)
Ago.2024,458756.18973556,Creditos del sistema financiero al sector privado (millones S/)
Sep.2024,456910.221433455,Creditos del sistema financiero al sector privado (millones S/)
Oct.2024,459105.22130114,Creditos del sistema financiero al sector privado (millones S/)
Nov.2024,460804.618557948,Creditos del sistema financiero al sector privado (millones S/)
Dic.2024,461274.26499109,Creditos del sistema financiero al sector privado (millones S/)
Ene.2025,455799.692345035,Creditos del sistema financiero al sector privado (millones S/)
Feb.2025,456398.482079209,Creditos del sistema financiero al sector privado (millones S/)
Mar.2025,458124.105030612,Creditos del sistema financiero al sector privado (millones S/)
Abr.2025,460353.825600921,Creditos del sistema financiero al sector privado (millones S/)
May.2025,463467.211284588,Creditos del sistema financiero al sector privado (millones S/)
Jun.2025,463634.609976231,Creditos del sistema financiero al sector privado (millones S/)
Jul.2025,468276.993442017,Creditos del sistema financiero al sector privado (millones S/)
Ago.2025,470356.301562464,Creditos del sistema financiero al sector privado (millones S/)
Sep.2025,470208.838774482,Creditos del sistema financiero al sector privado (millones S/)
Oct.2025,470552.782776523,Creditos del sistema financiero al sector privado (millones S/)
Nov.2025,474468.883319198,Creditos del sistema financiero al sector privado (millones S/)
Dic.2025,479089.326795198,Creditos del sistema financiero al sector privado (millones S/)
